psi,xc,yc,x1,y1,x2,y2
-0.6503126629998788,20.16293,3.20001,20.69598,2.79452,19.62988,3.6055
-0.821188715880904,20.549365,3.0838150000000004,21.00634,2.5929,20.09239,3.57473
-0.9886732218004228,20.902625,2.907955,21.27441,2.34311,20.53084,3.4728
-1.166317632903893,21.23383,2.667925,21.5009,2.04405,20.96676,3.2918
-1.3438177409604,21.519605,2.370585,21.67163,1.71235,21.36758,3.02882
-1.5161809738549104,21.751815,2.02611,21.78881,1.34941,21.71482,2.70281
-1.6879133006558835,21.921165,1.652285,21.84236,0.98249,21.99997,2.32208
-1.8595633863674044,22.028460000000003,1.24655,21.8369,0.60172,22.22002,1.89138
-2.0346104276443877,22.063735,0.83452,21.76332,0.23394,22.36415,1.4351
-2.201141361994294,22.027835,0.430025,21.62617,-0.12047,22.4295,0.98052
-2.368719552551231,21.92248,0.0290749999999999,21.43403,-0.44729,22.41093,0.50544
-2.5417940232861933,21.7492,-0.351435,21.18839,-0.73494,22.31001,0.03207
-2.720225609305528,21.51161,-0.6931149999999999,20.89234,-0.97068,22.13088,-0.41555
-2.8873015568193527,21.221965,-0.99414,20.56595,-1.16465,21.87798,-0.82363
-3.0569773389704618,20.882665000000003,-1.236465,20.20539,-1.29391,21.55994,-1.17902
3.0573720137464364,20.508185,-1.421915,19.83163,-1.3648,21.18474,-1.47903
2.894762701124092,20.11372,-1.5362,19.45312,-1.36975,20.77432,-1.70265
2.7228318597640992,19.704975,-1.59068,19.08249,-1.31362,20.32746,-1.86774
2.54908383278502,19.286115,-1.57044,18.71836,-1.18823,19.85387,-1.95265
2.38206457597222,18.88093,-1.48006,18.39031,-1.01419,19.37155,-1.94593
2.216831116850104,18.49143,-1.321675,18.08298,-0.77994,18.89988,-1.86341
2.045201194954749,18.13402,-1.09698,17.8256,-0.49638,18.44244,-1.69758
1.8724450625514717,17.823405,-0.8187150000000001,17.62275,-0.17382,18.02406,-1.46361
1.7011521065776722,17.55818,-0.489,17.47016,0.1824,17.6462,-1.1604
1.5409214610022055,17.362705,-0.1277399999999999,17.38304,0.55273,17.34237,-0.80821
1.3683571136090935,17.223660000000002,0.2669049999999999,17.35981,0.93024,17.08751,-0.39643
1.200716061275348,17.15447,0.676505,17.39843,1.30534,16.91051,0.04767
1.026494145791326,17.1539,1.08854,17.50316,1.66555,16.80464,0.51153
0.8521134016790408,17.223745,1.495955,17.66803,2.00386,16.77946,0.98805
0.6749209078896976,17.36468,1.88229,17.89316,2.30523,16.8362,1.45935
0.5067870588129582,17.567749999999997,2.237165,18.15807,2.56488,16.97743,1.90945
0.3252207031401083,17.83239,2.55336,18.47398,2.7697,17.1908,2.33702
0.1508225051474964,18.148,2.815295,18.81682,2.91694,17.47918,2.71365
-0.0221786080842921,18.50487,3.01326,19.17748,2.99834,17.83226,3.02818
-0.1973197793104682,18.88829,3.14172,19.5481,3.00981,18.22848,3.27363
