sigma_u,sigma_v,sigma_r,R_0,X_vv,X_vr,X_rr,X_vvvv,Y_v,Y_r,Y_vvv,Y_vvr,Y_vrr,Y_rrr,N_v,N_r,N_vvv,N_vvr,N_vrr,N_rrr
0.07835980850735383,0.04943639277884326,0.07298326146901113,0.03004284505118763,-0.08887205811306563,0.04698314519218842,-0.04974817365674964,0.5324339849356853,-0.496852248697083,0.19649657429725878,-3.8087824039150897,0.7815144996917889,-0.360866874501933,0.038111491887911214,-0.08607506411786758,-0.06568126575714203,0.2034073407494641,-0.35195364326455136,-0.297201118464843,-0.03820576753738564
0.07952286779857627,0.04971628664669904,0.07332964295797333,0.030986796983270545,-0.08950859730955699,0.04677730634721795,-0.04993248997597792,0.24628066254532444,-0.4547531820879628,0.19766183726489225,-5.150709923415007,0.7320356909347159,-0.3745529760327089,0.038001181113577504,-0.11825860241467773,-0.08014573730919221,-0.19975841623687518,-0.2062310582978203,-0.29830831533455904,-0.0377247344840768
0.07573906065809932,0.05018043603645799,0.07190716949880674,0.030425268063501956,-0.08970829658693384,0.049633907460369955,-0.049781558177082214,0.2703617902858889,-0.49835363109652847,0.19829113969716214,-5.85294131559629,0.7845626077036676,-0.45991264307982194,0.02270704331335449,-0.10610478217311328,-0.06654525974660477,0.2961262314822706,-0.28681894395755725,-0.23254499394622952,-0.03229065593495693
0.07534773038399063,0.04958757310674116,0.07382195844341248,0.029844435549040125,-0.079640317408025,0.04978057251381761,-0.04994979977145727,0.451840284265186,-0.4920714605675061,0.19815758564649047,-4.218690095142514,0.9053138215762626,-0.3261915187855311,0.03973932585618742,-0.12266334667042827,-0.08061721313377207,-0.3018950804578612,-0.14093067563054562,-0.26959907960202795,-0.03502338957465026
0.07746929210104071,0.04911006359671516,0.07084249186685333,0.030804312087798155,-0.0745598927615235,0.04574194558956303,-0.049929948539910285,0.345586119544948,-0.4816430246463897,0.19711237826327413,-3.226341734030432,0.03645673101418856,-0.6364880044653425,0.01868216268155093,-0.14181082436316003,-0.07078542131505602,0.21249904504796369,-0.705526771982187,-0.19603864112770183,-0.023198800590388875
0.07553663308668589,0.05023269774206851,0.07274328948521507,0.028071267755296055,-0.0813971917132301,0.049986660957196796,-0.04988050449555693,0.4458873954835333,-0.4942444079438731,0.19958446844858233,-4.246646029069369,-0.30088917969402385,-0.48664929951955505,0.03637949580793268,-0.0004481668509132841,-0.036797067584018406,-0.0759856520258847,-0.5697226479014232,-0.1618297322497547,-0.027200785910670537
0.07712997600282193,0.04812065822049672,0.07118439708834554,0.03120160326663265,-0.0853463505322144,0.04769407945444712,-0.04984253463584883,0.416670002819432,-0.496760100008871,0.1999753159341556,-3.2883979416578515,0.2784353095899994,-0.5433830613424566,0.025112067322292236,-0.1850110570966236,-0.08045256695870458,-0.03762689553713422,-0.5384595825734722,-0.19754758132165764,-0.024094608254007194
0.07561592741330082,0.050190670462775436,0.07324901488441239,0.028240001109584828,-0.0855001932082014,0.04866910956614755,-0.04994491002815976,0.2852306378919247,-0.4999718563194485,0.19999101562009117,-3.6624652807335005,-0.4599711306166938,-0.5401740753746177,0.03092432661294134,-0.09222800475925773,-0.05883674951912942,0.04455055617378478,-0.6480010251065516,-0.24319095363128226,-0.031441957078922916
0.07744690547091818,0.048396487485956596,0.07094559449962286,0.02886262101369211,-0.0627428328173841,0.04859888640718413,-0.04999369160683767,0.5621492994408266,-0.4991168127076267,0.19992851890058969,-1.5928211512978825,0.30494532364356797,-0.4907756826414622,0.02877981129726989,-0.005661612231831981,-0.04057680843591413,-0.03401320109077688,-0.5944561586619539,-0.20401200216339732,-0.029193404454887315
0.07596104009214628,0.05087506321943134,0.07400044192544845,0.028952528460848715,-0.08682572373872526,0.04982642295969919,-0.04981961515098984,0.3688907872049997,-0.49661315571225617,0.1912622493522196,-5.972398502420241,0.41555725858172465,-0.47609977241136536,0.02858968378358201,-0.05093646884613712,-0.048064929177242234,0.2371853195110487,-0.8586716493903831,-0.2594764051933704,-0.030693283116468944
0.07900337058493716,0.049802697499282816,0.07720857836818146,0.031145483006647167,-0.08026920746537122,0.04997226648515918,-0.04956357708486044,0.41446586913644,-0.49987841955126955,0.19533567728661563,-5.6226209776902,0.18046838359659256,-0.43110126961945094,0.034849185210468925,-0.042443521426688,-0.05605887593715661,-0.4609370009377153,-0.6092570375312649,-0.2695531030550898,-0.03559727325927861
0.07679966152183065,0.0486456984018109,0.07268867944200116,0.027999632716291474,-0.08796275862122517,0.04985828594666332,-0.0499465552936816,0.6086310858035986,-0.4998614903950095,0.19576659336496924,-3.725948147320115,-0.19719722131212825,-0.5625279752889697,0.028757509861255637,-0.07438070463587232,-0.051636851637071414,0.25555643889279467,-0.7347659291982791,-0.23296635761138226,-0.029385098179361288
0.07630133952304963,0.050206318602396806,0.0737117415564869,0.029165801408294195,-0.034400437026900585,0.049937006524037014,-0.04992252761613814,0.3112443912961616,-0.45423225995016975,0.1992545782542038,-2.8131792266424234,0.05567789695561487,-0.5821968589532961,0.021485141740627822,-0.07109059169412868,-0.05893732123496436,-0.2971221259021607,-0.22708889547857136,-0.14628449223889012,-0.02452305651906858
0.07812976540126285,0.04997768770001644,0.07419964886885315,0.030384447463848604,-0.0877759707419646,0.04967882566529579,-0.04959662630437791,0.6669684753790742,-0.4982287150163306,0.1976817757604891,-2.025936804258888,0.592902167334584,-0.4227270042841298,0.036129025814343046,-0.0375648722248072,-0.04941825861272964,-0.2798145371231954,-0.8472890656750771,-0.2184751603991773,-0.027125796069870957
0.07755344452443297,0.049970810510015645,0.07426601022817389,0.028599415066615883,-0.08368057271287113,0.049069361170911235,-0.049734888308857673,0.22565339786804164,-0.49722298865996034,0.19103215905207346,-4.955835632728688,0.394275921896972,-0.4874742908619172,0.029193278770679648,-0.06467285144589716,-0.049693355905330666,0.08621726163723364,-0.8158079224932511,-0.2778199990125971,-0.0351733120528088
0.07857426729554207,0.050628270508853296,0.07527600885473164,0.03035944133848596,-0.07266853993880146,0.04919823362742465,-0.04928248672029091,0.2873227462322794,-0.4981158389011938,0.1966964424808679,-4.895268335925564,-0.505586154595214,-0.5516962731316413,0.03283994270442819,-0.050581563744439756,-0.05593310357174916,-0.33544659967902396,-0.3070029036492832,-0.22552965888089854,-0.03420748532496648
0.07511338245615806,0.051256021149841124,0.07404887759108342,0.02999304710652589,-0.05578022619549284,0.044891626655300276,-0.049948988249558124,0.41387814859076155,-0.49870337172605705,0.1854799419635683,-5.846706836394688,0.6974934225444906,-0.4776553165718167,0.023573231233206315,-0.0978034518378266,-0.059733135376789835,0.3203582037808934,-0.456468832568506,-0.23929337323519884,-0.03212380397780306
0.07777785392065445,0.04886511141134154,0.07374483557118143,0.030703342930100495,-0.08029080569726871,0.04969070087608221,-0.0498979926325584,0.40275830434395066,-0.49959248421636665,0.19845195879252,-5.828757502248941,-0.535134062904802,-0.49801090536646697,0.037383014428900685,-0.08889095603585069,-0.061837446239663106,0.3364856067697072,-0.2626746892714801,-0.14462526967341335,-0.023038333032377276
0.07715673169787664,0.04931638368857495,0.07278541014831585,0.029941281686066558,-0.08206014916447513,0.049671256054139204,-0.049332983118067414,0.6216993709978449,-0.4983450161617139,0.19572225499002108,-5.571189153527569,0.35801687366491697,-0.3790434048433764,0.03823679043455744,-0.034271124266205544,-0.04957846859832487,0.3593429579211429,-0.48781663281518817,-0.2456435141221109,-0.03305967417981601
0.07735070470127381,0.05007523260876663,0.07510443032765302,0.030764216585660722,-0.07224647306191562,0.04975160971729829,-0.049966430936886776,0.30784788998063894,-0.49754050964083013,0.19681845854154592,-3.6428646501300923,-0.3853319616376436,-0.7361881871016457,0.014409448055259677,-0.016378462538102156,-0.0439349921331913,-0.18412475251906568,-0.6719404842397749,-0.1860480102821848,-0.027095962409768706
0.07533816606357475,0.050546988292257726,0.07234644351751449,0.02852436505486102,-0.07929914789174387,0.048412300086815685,-0.04992359950434952,0.33991654034917407,-0.45952438791500594,0.1993953919434178,-5.0810072297533555,-1.8960287844787085,-1.129980742565309,-0.01952046657963212,-0.03497122066276656,-0.04763251533885304,0.1837679340964664,-0.6353469440787207,-0.24902038050386466,-0.03309311670387521
