time,xc,xc_ref,yc,yc_ref,x1,x1_ref,y1,y1_ref,x2,x2_ref,y2,y2_ref,psi,psi_ref,U,U_ref,u,u_ref,v,v_ref,r,r_ref,delta,delta_ref,delta_in,npm,npm_ref,npm_in,error
25.0,16.966961741213986,16.967039884743127,13.217448163658856,13.217661809530194,20.466961741213993,14.979340735336578,13.217448163658856,16.098469351079693,13.466961741213922,18.954739034149675,13.217448163658856,10.336854267980693,123.56819323522538,124.60489332822515,0.8023066537354056,0.8025024609327677,0.7637128050565124,0.7605596724326897,-0.24584287262562116,-0.256045278168194,0.08966423449727094,0.0895264859772067,37.80530544065396,35.0,0.6587783554339911,17.169053086748708,17.95,17.182242094507284,0.00022748839417883392
26.0,16.717376314511906,16.717319706240552,13.974151893788672,13.974263646306335,20.217376314511913,14.480592480024544,13.974151893788672,16.666298437222686,13.217376314511831,18.95404693245656,13.974151893788672,11.282228855389986,128.6927658986267,129.72212835976342,0.7919498533265787,0.7920617095246583,0.7536109807402449,0.7504063218422735,-0.2434236222960209,-0.2534799870488287,0.08922128511919022,0.0890907605451632,37.76732381248503,35.0,0.6582277079682477,17.17739013127623,17.95,17.185597069298957,0.0001252721900090694
27.0,16.405985091560908,16.40589539740814,14.696751592836174,14.696789174687195,19.905985091560915,13.938916636787493,14.696751592836174,17.179532776964045,12.905985091560845,18.87287415802879,14.696751592836174,12.21404557241035,133.79267846077434,134.81751383792684,0.7823590023275863,0.7824666311226375,0.7442711204337882,0.741080204237556,-0.24113504061261956,-0.251105873502855,0.08880357582024198,0.0887433937379572,37.733407800389315,35.0,0.6575986259412544,17.182577920395296,17.95,17.189227464685686,9.724935252574345e-05
28.0,16.036689950851162,16.036607566669336,15.3810765396198,15.381100227101632,19.53668995085117,13.359625826927626,15.3810765396198,17.63582166557013,12.536689950851086,18.713589306411045,15.3810765396198,13.126378788633136,138.86939832395714,139.8938204637637,0.773477776855435,0.7735951479470885,0.7356348145425162,0.7324698656725219,-0.23897550276591922,-0.2488721535426484,0.08841177980916046,0.0884138252228365,37.69814679678225,35.0,0.6569072486862931,17.186781246557675,17.95,17.194288866223793,8.57219354121136e-05
29.0,15.61358797291487,15.613502082937412,16.02330160031191,16.023334928637038,19.11358797291488,12.748199635610009,16.02330160031191,18.033320472201865,12.113587972914788,18.478804530264814,16.02330160031191,14.01334938507221,143.92443147503656,144.9506634134593,0.7652597909861303,0.7653583407462463,0.727654155092258,0.7244919960020004,-0.23694298528782828,-0.2467483282190271,0.08804670571983013,0.0880629179993713,37.660134802204446,35.0,0.6562848866427179,17.19152698106765,17.95,17.20133473835857,9.212961241327679e-05
30.0,15.140947922952186,15.1408457859731,16.619951867457395,16.61996737329943,18.640947922952204,12.110167583688938,16.619951867457395,18.370678552848943,11.640947922952105,18.17152398825726,16.619951867457395,14.86925619374992,148.95935675878124,149.98655587200912,0.7576640492591629,0.7577028381294822,0.720286611986853,0.7170928867565243,-0.23503618472969637,-0.2447271596547204,0.08771023237438208,0.0876877374656589,37.62361036821883,35.0,0.6558871599792445,17.197726683731343,17.95,17.21024597089318,0.00010330727773996752
31.0,14.623190159322396,14.62309691644522,17.167903407178123,17.167857346301744,18.12319015932241,11.450994256279438,17.167903407178123,18.646966778821582,11.123190159322315,17.795199576611004,17.167903407178123,15.688747913781905,153.97589437186818,155.00098410789258,0.7506503764187351,0.750610854443197,0.7134901680728466,0.7102484311423296,-0.23325472702813502,-0.2428246710443683,0.08740532849860162,0.0873215514183242,37.59576907977565,35.0,0.6557521161617447,17.20564038346614,17.95,17.22028814504861,0.00010399922344330626
32.0,14.064869578165492,14.064840266552718,17.664381382717266,17.66427422634102,17.564869578165528,10.77598958950228,17.664381382717266,18.861546636473683,10.56486957816541,17.353690943603155,17.664381382717266,16.46700181620836,158.97592724353507,159.99648254774692,0.7441768360162492,0.74410021169751,0.707221086829658,0.7039641240413559,-0.2315977063932903,-0.2410801466545215,0.0871343353668265,0.0870338300525194,37.58063584817944,35.0,0.655738062599802,17.21489953584405,17.95,17.230445139668944,0.00011109302234353723
33.0,13.470659724558143,13.470709726849591,18.106957658775315,18.10687124485998,16.970659724558196,10.090288797644686,18.106957658775315,19.013929314331524,9.970659724558061,16.851130656054497,18.106957658775315,17.19981317538844,163.961393745656,164.97980735760555,0.7382005309883521,0.7381757678603983,0.7014355330579423,0.6982357406062536,-0.23006133294233808,-0.2395210111792392,0.0868964622339326,0.0868766095572316,37.57455965478087,35.0,0.6556190463302459,17.22472623294765,17.95,17.23991169348175,9.983783808457343e-05
34.0,12.845336142373897,12.84541087349064,18.49355024655678,18.49355643161077,16.345336142373963,9.39905870854681,18.49355024655678,19.104012617742885,9.345336142373815,16.29176303843447,18.49355024655678,17.883100245478655,168.93406719786793,169.95532218823206,0.7326809199129551,0.7327084220639125,0.6960934765757018,0.6929517973417193,-0.22863770964835856,-0.2380744386200864,0.0866867229877052,0.0867414491987102,37.56801383606567,35.0,0.6552866220227123,17.234325275737493,17.95,17.248390957497513,7.49866301574256e-05
